category,permission,input_text,label,label_float,reason
Social Media,Financial info,The application falls under Social Media and asks for Financial info.,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Financial info,Social Media app requesting Financial info permission.,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Social Media app requesting Health and fitness permission.,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Category: Social Media. Needed permission: Health and fitness.,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Permission: Health and fitness | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Permission: Health and fitness | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Social Media app requesting Health and fitness permission.,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Permission: Health and fitness | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Health and fitness,Social Media app requesting Health and fitness permission.,Unjustified,0.0,"Social Media apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Messages,Social Media applications may interact with Messages.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,Social Media app requesting Messages permission.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,Category: Social Media. Needed permission: Messages.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,"For a Social Media app, permission requested: Messages.",Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,Social Media applications may interact with Messages.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,Category: Social Media. Needed permission: Messages.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Messages,Social Media app requesting Messages permission.,Justified,1.0,"Social Media apps often require access to Messages to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,The application falls under Social Media and asks for Photos and videos.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,The application falls under Social Media and asks for Photos and videos.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,Social Media app requesting Photos and videos permission.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,Category: Social Media. Needed permission: Photos and videos.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,"For a Social Media app, permission requested: Photos and videos.",Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,Social Media app requesting Photos and videos permission.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Photos and videos,This Social Media app includes permission: Photos and videos.,Justified,1.0,"Social Media apps often require access to Photos and videos to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Permission: Audio | Category: Social Media,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Social Media applications may interact with Audio.,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,"For a Social Media app, permission requested: Audio.",Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Category: Social Media. Needed permission: Audio.,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Permission: Audio | Category: Social Media,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Category: Social Media. Needed permission: Audio.,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Audio,Social Media app requesting Audio permission.,Justified,1.0,"Social Media apps often require access to Audio to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Calendar,"For a Social Media app, permission requested: Calendar.",Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,Category: Social Media. Needed permission: Calendar.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,Social Media app requesting Calendar permission.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,Category: Social Media. Needed permission: Calendar.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,The application falls under Social Media and asks for Calendar.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,Social Media applications may interact with Calendar.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Calendar,Social Media applications may interact with Calendar.,Unjustified,0.0,"Social Media apps typically do not need access to Calendar for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,"For a Social Media app, permission requested: Files and docs.",Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Social Media applications may interact with Files and docs.,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Social Media app requesting Files and docs permission.,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Category: Social Media. Needed permission: Files and docs.,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Category: Social Media. Needed permission: Files and docs.,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Permission: Files and docs | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Files and docs,Social Media app requesting Files and docs permission.,Unjustified,0.0,"Social Media apps typically do not need access to Files and docs for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App activity,"For a Social Media app, permission requested: App activity.",Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,Social Media applications may interact with App activity.,Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,Social Media app requesting App activity permission.,Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,Social Media app requesting App activity permission.,Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,Social Media app requesting App activity permission.,Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,"For a Social Media app, permission requested: App activity.",Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,App activity,Social Media applications may interact with App activity.,Justified,1.0,"Social Media apps often require access to App activity to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Web browsing,Permission: Web browsing | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,The application falls under Social Media and asks for Web browsing.,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,The application falls under Social Media and asks for Web browsing.,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,This Social Media app includes permission: Web browsing.,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,"For a Social Media app, permission requested: Web browsing.",Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,Social Media applications may interact with Web browsing.,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Web browsing,Social Media app requesting Web browsing permission.,Unjustified,0.0,"Social Media apps typically do not need access to Web browsing for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,Social Media applications may interact with App info and performance.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,Social Media app requesting App info and performance permission.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,This Social Media app includes permission: App info and performance.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,"For a Social Media app, permission requested: App info and performance.",Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,Social Media app requesting App info and performance permission.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,Category: Social Media. Needed permission: App info and performance.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,App info and performance,Social Media applications may interact with App info and performance.,Unjustified,0.0,"Social Media apps typically do not need access to App info and performance for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Device or other IDs,This Social Media app includes permission: Device or other IDs.,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,Social Media applications may interact with Device or other IDs.,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,This Social Media app includes permission: Device or other IDs.,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,Permission: Device or other IDs | Category: Social Media,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,This Social Media app includes permission: Device or other IDs.,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,Permission: Device or other IDs | Category: Social Media,Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Device or other IDs,"For a Social Media app, permission requested: Device or other IDs.",Justified,1.0,"Social Media apps often require access to Device or other IDs to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,Social Media applications may interact with Contacts.,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,Permission: Contacts | Category: Social Media,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,Permission: Contacts | Category: Social Media,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,Permission: Contacts | Category: Social Media,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,This Social Media app includes permission: Contacts.,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,Permission: Contacts | Category: Social Media,Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Contacts,"For a Social Media app, permission requested: Contacts.",Justified,1.0,"Social Media apps often require access to Contacts to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Gaming,Location,Gaming app requesting Location permission.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,Gaming applications may interact with Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,Category: Gaming. Needed permission: Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,Category: Gaming. Needed permission: Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,The application falls under Gaming and asks for Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,This Gaming app includes permission: Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Location,Category: Gaming. Needed permission: Location.,Unjustified,0.0,"Gaming apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,"For a Gaming app, permission requested: Personal info.",Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,The application falls under Gaming and asks for Personal info.,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,Gaming app requesting Personal info permission.,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,Category: Gaming. Needed permission: Personal info.,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,Permission: Personal info | Category: Gaming,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,Gaming app requesting Personal info permission.,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Personal info,Permission: Personal info | Category: Gaming,Unjustified,0.0,"Gaming apps typically do not need access to Personal info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,Gaming applications may interact with Financial info.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,Gaming app requesting Financial info permission.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,This Gaming app includes permission: Financial info.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,"For a Gaming app, permission requested: Financial info.",Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,This Gaming app includes permission: Financial info.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,Gaming app requesting Financial info permission.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Financial info,This Gaming app includes permission: Financial info.,Unjustified,0.0,"Gaming apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,Category: Gaming. Needed permission: Health and fitness.,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,Category: Gaming. Needed permission: Health and fitness.,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,The application falls under Gaming and asks for Health and fitness.,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,Gaming applications may interact with Health and fitness.,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,Gaming app requesting Health and fitness permission.,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,Permission: Health and fitness | Category: Gaming,Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Health and fitness,"For a Gaming app, permission requested: Health and fitness.",Unjustified,0.0,"Gaming apps typically do not need access to Health and fitness for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,"For a Gaming app, permission requested: Messages.",Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,"For a Gaming app, permission requested: Messages.",Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,The application falls under Gaming and asks for Messages.,Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,"For a Gaming app, permission requested: Messages.",Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,Gaming applications may interact with Messages.,Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,Gaming applications may interact with Messages.,Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Messages,Permission: Messages | Category: Gaming,Unjustified,0.0,"Gaming apps typically do not need access to Messages for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,Category: Gaming. Needed permission: Photos and videos.,Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,This Gaming app includes permission: Photos and videos.,Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,"For a Gaming app, permission requested: Photos and videos.",Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,Gaming app requesting Photos and videos permission.,Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,"For a Gaming app, permission requested: Photos and videos.",Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,This Gaming app includes permission: Photos and videos.,Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Photos and videos,Gaming app requesting Photos and videos permission.,Unjustified,0.0,"Gaming apps typically do not need access to Photos and videos for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Audio,Permission: Audio | Category: Gaming,Unjustified,0.0,"Gaming apps typically do not need access to Audio for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Audio,The application falls under Gaming and asks for Audio.,Unjustified,0.0,"Gaming apps typically do not need access to Audio for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Audio,This Gaming app includes permission: Audio.,Unjustified,0.0,"Gaming apps typically do not need access to Audio for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Gaming,Audio,This Gaming app includes permission: Audio.,Unjustified,0.0,"Gaming apps typically do not need access to Audio for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
